date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:25	37779/37779	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:23%20GMT	https://www.alstoneindia.in/public/front/fonts/Century%20Gothic.ttf	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/fonts/Century%20Gothic.html	(from https://www.alstoneindia.in/public/front/css/style.css)
15:23:25	37797/37797	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:23%20GMT	https://www.alstoneindia.in/public/front/fonts/breeserif-regular-webfont.svg	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/fonts/breeserif-regular-webfont-2.html	(from https://www.alstoneindia.in/public/front/css/style.css)
15:23:26	37761/37761	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:24%20GMT	https://www.alstoneindia.in/public/front/images/down-a.png	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/images/down-a.html	(from https://www.alstoneindia.in/public/front/css/style.css)
15:23:27	14388/14388	---M--	200	added ('OK')	image/jpeg	etag:%2260dce03e-3834%22	https://www.alstoneindia.in/public/front/images/lagencybg.jpg	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/images/lagencybg.jpg	(from https://www.alstoneindia.in/public/front/css/style.css)
15:23:35	15304/15304	---M--	200	added ('OK')	image/jpeg	etag:%226176a26e-3bc8%22	https://www.alstoneindia.in/public/front/images/location-banner.jpg	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/images/location-banner.jpg	(from https://www.alstoneindia.in/public/front/css/style.css)
15:23:35	34388/34388	---M--	200	added ('OK')	image/jpeg	etag:%2260dce052-8654%22	https://www.alstoneindia.in/public/front/images/wht-pep-bg.jpg	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/images/wht-pep-bg.jpg	(from https://www.alstoneindia.in/public/front/css/style.css)
15:23:36	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%2260dce19a-d17%22	https://www.alstoneindia.in/public/front/css/owl.carousel.min.css	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/css/owl.carousel.min.css	(from https://www.alstoneindia.in/home)
15:23:37	1623/1623	---MCZ	200	added ('OK')	text/css	etag:W/%2261681ecd-657%22	https://www.alstoneindia.in/public/front/css/animation.css	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/css/animation.css	(from https://www.alstoneindia.in/home)
15:23:37	43170/43170	---MCZ	200	added ('OK')	text/css	etag:W/%2261681f8e-a8a2%22	https://www.alstoneindia.in/public/front/css/jquery.mCustomScrollbar.css	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/css/jquery.mCustomScrollbar.css	(from https://www.alstoneindia.in/home)
15:23:38	10252/10252	---MCZ	200	added ('OK')	text/css	etag:W/%2260dce19a-280c%22	https://www.alstoneindia.in/public/front/css/jquery.fancybox.min.css	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/css/jquery.fancybox.min.css	(from https://www.alstoneindia.in/home)
15:23:38	44143/44143	---MCZ	200	added ('OK')	application/javascript	etag:W/%22616822ce-ac6f%22	https://www.alstoneindia.in/public/front/js/owl.carousel.js	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/js/owl.carousel.js	(from https://www.alstoneindia.in/home)
15:23:38	10856/10856	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261682262-2a68%22	https://www.alstoneindia.in/public/front/js/jquery.popupoverlay.js	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/js/jquery.popupoverlay.js	(from https://www.alstoneindia.in/home)
15:23:39	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2009%20Feb%202024%2009:53:37%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/HP/OneDrive/Desktop/infinia/www.googletagmanager.com/gtm.225445.delayed	(from https://www.alstoneindia.in/home)
15:23:40	219515/219515	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2009%20Feb%202024%2009:53:38%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/HP/OneDrive/Desktop/infinia/connect.facebook.net/en_US/fbevents.js	(from https://www.alstoneindia.in/home)
